### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.0000	 81.1215193	 75.7879561	 73.1355870	 87.6279205	 76.5325153	 76.6783758	 60.2699207	 72.2179773	 70.8520867	 79.2501344	 72.7240655	 74.2571031
0.0100	 81.1346010	 76.1225288	 73.3907632	 87.4647110	 76.4171327	 76.5323727	 60.4798942	 72.3299954	 71.0092747	 79.0500081	 72.7399736	 74.1717673
0.0200	 80.7801040	 75.9600746	 73.2463793	 86.9368588	 76.0665176	 76.1574661	 60.3036790	 72.1069016	 70.9253339	 78.6317464	 72.5328545	 73.8851757
0.0300	 80.3149497	 75.6286163	 72.9255678	 86.3071202	 75.6126312	 75.7087380	 60.0620343	 71.7677763	 70.7033753	 78.0705236	 72.2117134	 73.4986599
0.0400	 79.7684964	 75.1677357	 72.5220651	 85.5742536	 75.0764897	 75.1878718	 59.8190923	 71.3385965	 70.3991862	 77.4868344	 71.8130709	 73.0184491
0.0500	 79.1514266	 74.6304286	 72.0096989	 84.7696334	 74.4944434	 74.5977815	 59.5277747	 70.8315982	 70.0096604	 76.8232616	 71.3089215	 72.4731793
0.0600	 78.4696708	 74.0217107	 71.4120793	 83.9072118	 73.8636242	 73.9503047	 59.0721671	 70.2443874	 69.5505328	 76.0809689	 70.7574653	 71.8666033
0.0700	 77.7489101	 73.3545075	 70.7701857	 82.9993333	 73.1703406	 73.2661685	 58.5712798	 69.6226126	 69.0397646	 75.3110222	 70.1551136	 71.2370730
0.0800	 76.9919361	 72.6463685	 70.0760137	 82.0410099	 72.4564217	 72.5367641	 58.1275826	 68.9574991	 68.5031397	 74.4563473	 69.4979232	 70.5512392
0.0900	 76.1914275	 71.8769247	 69.3284338	 81.0452311	 71.6911157	 71.7703245	 57.6636068	 68.2394525	 67.8948351	 73.5983689	 68.7977945	 69.8192717
