### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.0000	 81.3322166	 76.4892387	 73.7771618	 88.6306586	 77.5121517	 76.9151955	 60.3090438	 72.8882523	 71.2726991	 80.9489635	 73.2437395	 74.7550772
0.0100	 81.4416033	 76.8941695	 74.0825541	 88.5051953	 77.4399455	 76.8616356	 60.4312590	 73.0545512	 71.4991043	 80.7808334	 73.3203814	 74.7439988
0.0200	 81.1624907	 76.7712915	 73.9835386	 88.0228872	 77.1099423	 76.5751752	 60.3566485	 72.8954827	 71.4727021	 80.3617660	 73.1854564	 74.5215484
0.0300	 80.7528615	 76.4845409	 73.7346653	 87.4390820	 76.6979472	 76.1789126	 60.2664035	 72.6028517	 71.3085335	 79.8733152	 72.9247784	 74.1927430
0.0400	 80.2598900	 76.0888780	 73.3678225	 86.7605914	 76.2154599	 75.7184381	 60.0525851	 72.2008633	 71.0475611	 79.2988332	 72.5719629	 73.7702578
0.0500	 79.7033852	 75.6001035	 72.9051183	 86.0018875	 75.6581199	 75.1662655	 59.6755081	 71.7173449	 70.7041051	 78.6502570	 72.1472214	 73.2974894
0.0600	 79.0971349	 75.0465075	 72.3862218	 85.2203025	 75.0672399	 74.5978157	 59.2900914	 71.1893699	 70.3197263	 77.9480917	 71.6688616	 72.7686821
0.0700	 78.4418223	 74.4341295	 71.7917585	 84.3636951	 74.4288181	 73.9748511	 58.9490388	 70.6285305	 69.8724979	 77.2388012	 71.1506369	 72.1934575
0.0800	 77.7379413	 73.7715323	 71.1479625	 83.4627780	 73.7466495	 73.2953452	 58.5513114	 69.9831979	 69.3755698	 76.4359482	 70.5595317	 71.5669931
0.0900	 76.9914374	 73.0585242	 70.4577177	 82.5064736	 73.0129021	 72.5700467	 58.0242759	 69.3035006	 68.8251657	 75.6036668	 69.9083893	 70.8920182
0.1000	 76.2178576	 72.3115665	 69.7352632	 81.5393495	 72.2855954	 71.8371289	 57.4412994	 68.5881808	 68.2385974	 74.7217959	 69.2483042	 70.2007427
0.1100	 75.4174748	 71.5502749	 68.9748473	 80.5437094	 71.5077773	 71.0550472	 56.9371911	 67.8343773	 67.6113555	 73.8326121	 68.5512408	 69.4674746
0.1200	 74.5857156	 70.7249867	 68.1743599	 79.4929031	 70.7028822	 70.2400933	 56.4374766	 67.0539346	 66.9550119	 72.8934938	 67.7990502	 68.6882953
0.1300	 73.7027103	 69.8700853	 67.3396305	 78.4032101	 69.8485498	 69.3842724	 55.8007467	 66.2227281	 66.2460732	 71.9040648	 67.0018736	 67.8654720
0.1400	 72.7895066	 68.9760058	 66.4567859	 77.2881939	 68.9776342	 68.5052088	 55.0945745	 65.3693807	 65.5221507	 70.8958784	 66.1935382	 67.0340504
0.1500	 71.8431635	 68.0544369	 65.5514926	 76.1358075	 68.0696426	 67.5833418	 54.4372261	 64.4874523	 64.7629011	 69.8473512	 65.3405169	 66.1626235
0.1600	 70.8767261	 67.0990643	 64.6084167	 74.9602693	 67.1301019	 66.6400964	 53.8213787	 63.5688600	 63.9569607	 68.7777396	 64.4560566	 65.2561172
0.1700	 69.8661849	 66.1177602	 63.6312118	 73.7480267	 66.1567178	 65.6524358	 53.1255740	 62.6246541	 63.1262513	 67.6437838	 63.5317133	 64.3223574
0.1800	 68.8252053	 65.0995209	 62.6312028	 72.4962942	 65.1579876	 64.6426237	 52.3092280	 61.6383149	 62.2526199	 66.5052113	 62.5743926	 63.3510791
0.1900	 67.7631831	 64.0594148	 61.5928170	 71.2352638	 64.1368360	 63.6002875	 51.5166829	 60.6389066	 61.3596805	 65.3366356	 61.6013610	 62.3548487
0.2000	 66.6631625	 62.9827422	 60.5347606	 69.9304204	 63.0725590	 62.5342697	 50.7864450	 59.6108310	 60.4386457	 64.1295743	 60.5868576	 61.3320676
0.2100	 65.5306675	 61.8791519	 59.4428896	 68.5926988	 61.9798267	 61.4215911	 50.0127182	 58.5406100	 59.4752306	 62.8809587	 59.5209418	 60.2628921
0.2200	 64.3536496	 60.7235063	 58.3060611	 67.2149787	 60.8573367	 60.2673683	 49.1105492	 57.4356879	 58.4706980	 61.5829328	 58.4297240	 59.1563725
0.2300	 63.1524670	 59.5485680	 57.1423878	 65.8094106	 59.7072176	 59.0986380	 48.1774941	 56.3109250	 57.4483303	 60.2864074	 57.3129065	 58.0347432
0.2400	 61.9234827	 58.3524726	 55.9581082	 64.3840961	 58.5259053	 57.9062027	 47.3275425	 55.1610821	 56.4097356	 58.9464153	 56.1720714	 56.8831828
0.2500	 60.6625860	 57.1221754	 54.7351603	 62.9157796	 57.3105814	 56.6564840	 46.4572400	 53.9767001	 55.3144020	 57.5565888	 54.9804901	 55.6877055
0.2600	 59.3617432	 55.8500591	 53.4758851	 61.4160610	 56.0607948	 55.3913446	 45.4522040	 52.7491873	 54.1912115	 56.1294755	 53.7560369	 54.4502289
0.2700	 58.0248968	 54.5567313	 52.2026767	 59.8956699	 54.7808882	 54.0880060	 44.4029776	 51.4985598	 53.0205769	 54.6738419	 52.4987982	 53.1898667
0.2800	 56.6623803	 53.2299779	 50.8860670	 58.3326361	 53.4635794	 52.7481906	 43.4179661	 50.2323595	 51.8282323	 53.2019350	 51.2176761	 51.9016489
0.2900	 55.2571576	 51.8579161	 49.5308081	 56.7233357	 52.1009073	 51.3605796	 42.4388062	 48.9154606	 50.5914884	 51.6619319	 49.8775406	 50.5619556
0.3000	 53.7989558	 50.4464619	 48.1414180	 55.0797078	 50.7061878	 49.9363519	 41.3469863	 47.5550542	 49.3035761	 50.0890511	 48.5020079	 49.1725857
0.3100	 52.3120203	 49.0105575	 46.7175349	 53.3993993	 49.2711396	 48.4830097	 40.1556810	 46.1664093	 47.9942738	 48.4867215	 47.0921803	 47.7600584
0.3200	 50.7917554	 47.5289887	 45.2662740	 51.7030261	 47.8238933	 46.9945088	 38.9979234	 44.7551016	 46.6423624	 46.8401090	 45.6540314	 46.3151510
0.3300	 49.2394859	 46.0192619	 43.7817702	 49.9549127	 46.3152452	 45.4608362	 37.8808678	 43.2977578	 45.2371135	 45.1542767	 44.1591208	 44.8200894
0.3400	 47.6328690	 44.4672139	 42.2498606	 48.1653583	 44.7651486	 43.8754046	 36.6959124	 41.7930956	 43.7938774	 43.4175715	 42.6100958	 43.2709514
0.3500	 45.9793612	 42.8688884	 40.6772787	 46.3379876	 43.1782193	 42.2570797	 35.3604794	 40.2532203	 42.2857386	 41.6483351	 41.0251562	 41.6850628
0.3600	 44.2978405	 41.2389682	 39.0706099	 44.4666126	 41.5428094	 40.5961277	 34.0262397	 38.6769532	 40.7569839	 39.8393191	 39.4056665	 40.0620226
0.3700	 42.5829134	 39.5766167	 37.4377607	 42.5717185	 39.8755032	 38.9063707	 32.7425865	 37.0702225	 39.1834396	 37.9909813	 37.7471127	 38.3938838
0.3800	 40.8228690	 37.8714855	 35.7487106	 40.6269734	 38.1586280	 37.1560255	 31.4258598	 35.4124588	 37.5453290	 36.0852575	 36.0256860	 36.6748109
0.3900	 39.0091322	 36.1169644	 34.0300636	 38.6385761	 36.3996443	 35.3722451	 29.9706668	 33.7114480	 35.8612938	 34.1412675	 34.2562362	 34.9079992
0.4000	 37.1725049	 34.3280554	 32.2788758	 36.6260517	 34.6113289	 33.5578911	 28.4518476	 31.9803195	 34.1414086	 32.1895796	 32.4666093	 33.1169980
0.4100	 35.3138393	 32.5264315	 30.5043293	 34.5926360	 32.7952961	 31.7260024	 26.9969543	 30.2182830	 32.3857024	 30.2122490	 30.6535001	 31.2941588
0.4200	 33.4272769	 30.6848169	 28.7018460	 32.5267211	 30.9492036	 29.8644739	 25.5609201	 28.4254532	 30.5783866	 28.2205685	 28.7906234	 29.4348132
0.4300	 31.5034289	 28.8066588	 26.8723420	 30.4298289	 29.0600811	 27.9782542	 24.0049293	 26.5847186	 28.7337420	 26.2113780	 26.8978646	 27.5342803
0.4400	 29.5763886	 26.9285635	 25.0536278	 28.3496002	 27.1938940	 26.1337693	 22.3811692	 24.7505785	 26.8918394	 24.2585592	 25.0240111	 25.6582341
0.4500	 27.6780764	 25.0860787	 23.2734560	 26.3117991	 25.3574080	 24.3271427	 20.8611708	 22.9420583	 25.0654427	 22.3710316	 23.1864461	 23.8126346
0.4600	 25.8135724	 23.2630903	 21.5417661	 24.3059054	 23.5532238	 22.5837363	 19.4326803	 21.1423069	 23.2445428	 20.5580207	 21.3674330	 21.9933686
0.4700	 23.9872430	 21.4928116	 19.8825229	 22.3808007	 21.8244687	 20.9488865	 17.9644450	 19.3952605	 21.4848238	 18.8723832	 19.6366745	 20.2468788
